,Link_ID,Origin_ID,Destination_ID
959,1499,3393,3390
960,1503,442,283
961,1504,442,441
962,1505,441,442
963,1508,1113,495
964,1509,495,1113
965,1511,664,1113
966,1512,664,252
967,1513,252,664
968,1514,1121,1122
969,1515,1122,1121
970,1518,1118,1112
971,1519,1112,1118
972,1520,198,1121
973,1521,1121,198
974,1522,1121,664
975,1523,664,1121
976,1524,664,304
977,1525,304,664
978,1526,200,1122
979,1527,1122,200
980,1528,252,1122
981,1531,1118,441
982,1532,441,1118
983,1533,441,1701
984,1534,1701,441
985,1535,656,190
986,1536,190,656
987,1537,188,190
988,1538,190,188
989,1539,190,192
990,1540,192,190
991,1542,192,196
992,1543,656,657
993,1544,657,656
994,1547,4716,451
995,1548,451,4716
996,1549,4715,4716
997,1550,4716,4715
998,1551,4715,3280
999,1552,3280,4715
1000,1553,3280,2427
1001,1554,2427,3280
1002,1555,4710,483
1003,1556,483,4710
1004,1557,483,487
1005,1558,487,483
1006,1559,487,360
1007,1560,360,487
1008,1561,360,426
1009,1562,426,360
1010,1564,451,360
1011,1567,483,4715
1012,1568,4715,483
1013,1570,3722,451
1014,1571,3722,2431
1015,1572,2431,3722
1016,1574,3570,4715
1017,1575,31200,948
1018,1576,948,31200
1019,1577,948,2431
1020,1578,2431,948
1021,1579,2431,2430
1022,1580,2430,2431
1023,1581,948,2956
1024,1582,2956,948
1025,1587,3212,1698
1026,1588,1698,3212
1027,1590,190,268
1028,1591,530,208
1029,1592,208,530
1030,1595,3675,3748
1031,1596,3748,539
1032,1597,539,1106
1033,1598,1126,1131
1034,1599,1131,878
1035,1600,878,540
1036,1601,540,536
1037,1604,1106,3728
1038,1605,536,3723
1039,1606,3723,3724
1040,1607,3676,3675
1041,1608,620,729
1042,1609,729,620
1043,1613,603,1125
1044,1616,442,1336
1045,1617,1336,442
1046,1618,1122,252
1047,1619,2430,3722
1048,1620,3722,2430
1049,1621,3722,432
1050,1622,432,3722
1051,1623,2430,3570
1052,1624,3570,2430
1053,1625,3566,3693
1054,1626,3693,3566
1055,1627,3693,3561
1056,1628,3561,3693
1057,1629,3561,3560
1058,1630,3560,3561
1059,1631,3728,1115
1060,1632,1115,603
1061,1633,3724,3675
1062,1635,2427,2425
1063,1636,2425,2427
1064,1637,2427,2428
1065,1638,2428,2427
1066,1639,492,540
1067,1640,878,432
1068,1641,429,536
1069,1642,2822,2104
1070,1643,2104,2822
1071,1644,451,3723
1072,1645,3174,1578
1073,1646,1578,3174
1074,1649,2649,1570
1075,1650,1570,2649
1076,1653,25613,2649
1077,1654,2649,25613
1078,1655,2301,2305
1079,1656,1570,31000
1080,1657,31000,1570
1081,1658,31000,2190
1082,1659,2190,31000
1083,1660,2190,2996
1084,1661,2996,2190
1085,1662,2996,4975
1086,1663,4975,2996
1087,1664,2409,2302
1088,1665,5148,3365
1089,1666,3481,5148
1090,1667,5147,5148
1091,1668,5148,5147
1092,1669,5264,5147
1093,1670,5147,5264
1094,1671,5146,5264
1095,1672,5264,5146
1096,1673,5145,5146
1097,1674,5146,5145
1098,1676,4766,4764
1099,1677,4764,4762
1100,1678,4762,3401
1101,1679,3401,4762
1102,1680,4762,4764
1103,1681,4764,4766
1104,1683,2409,4762
1105,1684,4762,4753
1106,1685,4753,4743
1107,1686,4743,4740
1108,1687,4740,4743
1109,1688,4743,4753
1110,1689,4753,4762
1111,1690,4762,2409
1112,1691,2411,4764
1113,1692,4764,4755
1114,1693,4755,4764
1115,1694,4764,2411
1116,1695,3399,4753
1117,1696,4753,4755
1118,1697,4755,4753
1119,1698,4753,3399
1120,1699,3397,4743
1121,1700,4743,4745
1122,1701,4745,4743
1123,1702,4743,3397
1124,1703,3397,2987
1125,1704,2987,4539
1126,1705,4539,2987
1127,1706,2987,3397
1128,1707,2987,4548
1129,1708,4548,2987
1130,1709,4548,4552
1131,1710,4552,4548
1132,1711,4550,4552
1133,1712,4552,4550
1134,1714,4550,4551
1135,1715,4551,4550
1136,1717,4532,4550
1137,1718,4550,4532
1138,1719,4831,3425
1139,1720,3425,4831
1140,1721,2404,4536
1141,1722,4536,4548
1142,1723,4548,3396
1143,1724,3396,4548
1144,1725,4548,4536
1145,1726,4536,2404
1146,1727,3425,2305
1147,1728,2305,3425
1148,1731,3425,2302
1149,1733,2301,3425
1150,1734,4051,3180
1151,1735,3180,4051
1152,1736,3180,2828
1153,1737,2828,3180
1154,1738,2828,325
1155,1739,325,2828
1156,1740,325,330
1157,1741,330,325
1158,1742,330,335
1159,1743,335,330
1160,1746,680,688
1161,1747,688,680
1162,1748,3919,325
1163,1749,325,3919
1164,1750,330,574
1165,1751,574,330
1166,1758,700,984
1167,1759,984,700
1168,1762,3919,2206
1169,1763,2206,3919
1170,1764,2206,2208
1171,1765,2208,2206
1172,1766,2825,4030
1173,1767,4030,2825
1174,1768,3308,3311
1175,1769,3311,3308
1176,1770,3064,3267
1177,1771,3267,3064
1178,1774,3311,2944
1179,1775,2944,3311
1180,1776,3918,325
1181,1777,325,3918
1182,1778,3357,2816
1183,1779,4176,2816
1184,1780,2816,4176
1185,1781,2816,3357
1186,1782,4532,4536
1187,1783,4536,4532
1188,1784,4536,4541
1189,1785,4541,4536
1190,1786,31300,31303
1191,1787,31303,31300
1192,1788,31303,31301
1193,1789,31301,31303
1194,1790,31301,31302
1195,1791,31302,31301
1196,1794,13841,2918
1197,1795,2918,13841
1198,1804,4732,2888
1199,1805,2888,4732
1200,1806,3744,4169
1201,1807,4169,3744
1202,1808,3229,3742
1203,1809,3742,3229
1204,1810,3742,3744
1205,1811,3744,3742
1206,1812,2815,2818
1207,1813,2818,2815
1208,1814,3480,3482
1209,1815,3482,3480
1210,1816,3482,3506
1211,1817,3506,3482
1212,1818,121,582
1213,1819,582,121
1214,1820,582,849
1215,1821,849,582
1216,1822,2719,4198
1217,1823,4198,2719
1218,1824,2570,2652
1219,1825,2652,2570
1220,1826,2652,2631
1221,1827,2631,2652
1222,1828,3479,5294
1223,1829,5294,3479
1224,1830,5294,5258
1225,1831,5258,5294
1226,1832,5258,2630
1227,1833,2630,5258
1228,1834,2897,2896
1229,1835,2896,2897
1230,1836,2896,3755
1231,1837,3755,2896
1232,1838,4080,4081
1233,1839,4081,4080
1234,1840,2324,4616
1235,1841,4616,2324
1236,1842,4616,4617
1237,1843,4617,4616
1238,1844,315,694
1239,1845,694,315
1240,1846,694,695
1241,1847,695,694
1242,1848,1316,834
1243,1849,834,1316
1244,1850,1361,1316
1245,1851,1316,1361
1246,1852,5258,5002
1247,1853,5002,5258
1248,1854,3037,4866
1249,1855,4866,3037
1250,1856,4866,4640
1251,1857,4640,4866
1252,1858,3037,3034
1253,1859,3034,3037
1254,1860,3034,3714
1255,1861,3714,3034
1256,1862,3714,3036
1257,1863,3036,3714
1258,1864,2976,2762
1259,1865,2762,2976
1260,1866,3229,3224
1261,1867,3224,3229
1262,1868,426,455
1263,1869,455,426
1264,1870,262,3280
1265,1871,3280,262
1266,1872,3280,2428
1267,1873,2428,3280
1268,1874,5257,5145
1269,1876,4340,3690
1270,1877,3690,4340
1271,1878,3706,3681
1272,1879,3681,3706
1273,1880,3706,2425
1274,1881,2425,3706
1275,1882,3690,970
1276,1883,970,3690
1277,1884,3680,3690
1278,1885,3690,3680
1279,1886,2425,3691
1280,1887,3691,2425
1281,1888,3691,3693
1282,1889,3693,3691
1283,1890,3075,3052
1284,1891,3052,3075
1285,1892,3054,3075
1286,1893,3075,3054
1287,1894,4909,3012
1288,1895,3012,4909
1289,1896,4616,3637
1290,1897,3637,4616
1291,1898,192,657
1292,1899,657,192
1293,1900,2731,2738
1294,1901,2738,2731
1295,1902,2730,2731
1296,1903,2731,2730
1297,1904,2730,2878
1298,1905,2878,2730
1299,1906,2878,2879
1300,1907,2879,2878
1301,1908,2872,2873
1302,1909,2873,2872
1303,1910,2738,2649
1304,1911,2649,2738
1305,1912,3750,3755
1306,1913,3755,3750
1307,1914,3685,970
1308,1915,970,3685
1309,1916,2000,3685
1310,1917,3685,2000
1311,1918,4130,4126
1312,1919,4126,4130
1313,1920,4126,4001
1314,1921,4001,4126
1315,1922,3382,3383
1316,1923,3383,3382
1317,1924,3383,3385
1318,1925,3385,3383
1319,1926,2312,4855
1320,1927,4855,2312
1321,1928,4855,4853
1322,1929,4853,4855
1323,1930,4855,2310
1324,1931,2310,4855
1325,1932,133,295
1326,1933,295,133
1327,1934,295,137
1328,1935,137,295
1329,1936,147,3763
1330,1937,3763,147
1331,1938,3750,4722
1332,1939,4722,3750
1333,1940,2424,2422
1334,1941,2422,2424
1335,1942,2424,2425
1336,1943,2425,2424
1337,1944,4810,4150
